date,mstr,btc,btc_holdings,diluted_shares,market_cap,btc_nav,mnav,ratio,ratio_dd_from_90d_peak_pct,btc_dd_from_ath_pct,lead_lag_diverging,shares_30d_annualized_pct,shares_90d_annualized_pct,shares_acceleration,realized_vol_30d_pct,realized_vol_90d_pct,gamma_armed,gamma_elevated,ratio_multiple_off_2y_low,preferred_max_yield_pct,credit_stress,btc_funding_8h_pct,btc_funding_annualized_pct
2024-04-24,126.567001,64276.898438,214246.0,161010989.010989,20378678062.355125,13771068382.640623,1.479818,0.001969,-28.737663,-12.050054,False,49.247266,53.585226,False,81.671861,111.970138,False,False,3.387532,,False,,
2024-04-25,124.041,64481.707031,214246.0,161219780.21978,19997862817.282204,13814947804.617188,1.447553,0.001924,-30.381732,-11.769815,False,49.180909,53.506674,False,81.376369,111.532701,False,False,3.30938,,False,,
2024-04-26,128.238007,63755.320312,214246.0,161428571.428571,20701278206.961494,13659322355.671877,1.515542,0.002011,-27.20613,-12.763729,False,49.114731,53.428351,False,81.863402,111.585358,False,False,3.460335,,False,,
2024-04-27,128.238007,63419.140625,214246.0,161637362.637363,20728053175.37077,13587297202.34375,1.525546,0.002022,-26.820256,-13.223723,False,49.04873,53.350258,False,75.603972,111.585358,False,False,3.478678,,False,,
2024-04-28,128.238007,63113.230469,214246.0,161846153.846154,20754828143.78005,13521757175.007812,1.534921,0.002032,-26.465553,-13.642299,False,48.982907,53.272392,False,75.603972,111.500002,False,False,3.495539,,False,,
2024-04-29,129.296997,63841.121094,214400.0,162054945.054945,20953217755.998882,13687536362.5,1.530825,0.002025,-26.703639,-12.646328,False,48.91726,53.194753,False,75.731108,111.500372,False,False,3.484222,,False,,
2024-04-30,106.502998,60636.855469,214400.0,162263736.263736,17281574435.894302,13000541812.5,1.329296,0.001756,-36.434767,-17.030718,False,48.851789,53.117341,False,92.650612,116.377529,False,False,3.021642,,False,,
2024-05-01,102.827003,58254.011719,214400.0,162472527.472527,16706563147.66014,12489660112.5,1.337632,0.001765,-36.118395,-20.291158,False,48.786493,53.040153,False,92.536139,116.603568,False,False,3.036681,,False,,
2024-05-02,112.942001,59123.433594,214400.0,162681318.681319,18373553712.949642,12676064162.5,1.449468,0.00191,-30.866219,-19.10153,False,48.721371,52.963189,False,97.5499,117.456402,False,False,3.286349,,False,,
2024-05-03,122.301003,62889.835938,214400.0,162890109.89011,19921623737.293285,13483580825.0,1.477473,0.001945,-29.620847,-13.947969,False,48.656423,52.886449,False,100.752968,118.036687,False,False,3.345549,,False,,
2024-05-04,122.301003,63891.472656,214400.0,163098901.098901,19947159111.442146,13698331737.5,1.456174,0.001914,-30.724192,-12.577432,False,48.591648,52.80993,False,100.692782,118.036687,False,False,3.2931,,False,,
2024-05-05,122.301003,64031.132812,214400.0,163307692.307692,19972694485.59101,13728274875.0,1.454858,0.00191,-30.875292,-12.386335,False,48.527045,52.733632,False,95.522588,117.946332,False,False,3.285918,,False,,
2024-05-06,126.880997,63161.949219,214400.0,163516483.516484,20747134406.121223,13541921912.5,1.532067,0.002009,-27.299811,-13.575637,False,48.462614,52.657555,False,96.295059,118.027905,False,False,3.455882,,False,,
2024-05-07,125.745003,62334.816406,214400.0,163725274.725275,20587635120.014565,13364584637.5,1.540462,0.002017,-26.994676,-14.707401,False,48.398353,52.581697,False,96.296287,118.061015,False,False,3.470387,,False,,
2024-05-08,123.311996,61187.941406,214400.0,163934065.934066,20215036958.12854,13118694637.5,1.540934,0.002015,-27.065339,-16.276668,False,48.334263,52.506057,False,94.969431,115.897368,False,False,3.467028,,False,,
2024-05-09,126.363998,63049.960938,214400.0,164142857.142857,20741747739.51939,13517911625.0,1.53439,0.002004,-27.467438,-13.72887,False,48.270342,52.430634,False,94.530095,115.001953,False,False,3.447914,,False,,
2024-05-10,118.047997,60792.777344,214400.0,164351648.351648,19401382812.835358,13033971462.5,1.488524,0.001942,-29.724957,-16.81737,False,48.20659,52.355428,False,92.499458,115.688921,False,False,3.295081,,False,,
2024-05-11,118.047997,60793.710938,214400.0,164560439.56044,19426030196.724358,13034171625.0,1.490392,0.001942,-29.726037,-16.816093,False,48.143006,52.280437,False,92.539787,115.688921,False,False,2.983504,,False,,
2024-05-12,118.047997,61448.394531,214400.0,164769230.769231,19450677580.613358,13174535787.5,1.476384,0.001921,-30.47475,-15.92029,False,48.07959,52.205661,False,91.842998,114.502676,False,False,2.951717,,False,,
2024-05-13,124.596001,62901.449219,214400.0,164978021.978022,20555601737.13768,13486070712.5,1.52421,0.001981,-28.313408,-13.932079,False,48.01634,52.131098,False,93.544508,114.46512,False,False,3.043478,,False,,
2024-05-14,129.763,61552.789062,214400.0,165186813.186813,21435136520.218063,13196917975.0,1.624253,0.002108,-23.704728,-15.777448,False,47.953257,52.056748,False,94.497177,113.131363,False,False,3.239141,,False,,
2024-05-15,150.347,66267.492188,214400.0,165395604.395604,24866732954.25583,14207750325.0,1.750223,0.002269,-17.891388,-9.326329,False,47.890339,51.98261,False,99.578449,114.841696,False,False,3.485948,,False,,
2024-05-16,143.998001,65231.582031,214400.0,165604395.604396,23846701940.18018,13985651187.5,1.705083,0.002207,-20.109887,-10.743763,False,47.827586,51.908683,False,98.566361,115.021876,False,False,3.391761,,False,,
2024-05-17,158.449997,67051.875,214400.0,165813186.813187,26273098944.527763,14375922000.0,1.827577,0.002363,-14.478406,-8.25306,False,47.764998,51.834965,False,100.356925,115.942667,False,False,3.630847,,False,,
2024-05-18,158.449997,66940.804688,214400.0,166021978.021978,26306181910.92355,14352108525.0,1.832914,0.002367,-14.336505,-8.405037,False,47.702573,51.761457,False,100.370384,115.942667,False,False,3.636872,,False,,
2024-05-19,158.449997,66278.367188,214400.0,166230769.230769,26339264877.319332,14210081925.0,1.853562,0.002391,-13.480318,-9.311449,False,47.640311,51.688157,False,99.779348,115.942667,False,False,3.673222,,False,,
2024-05-20,172.723999,71448.195312,214400.0,166439560.43956,28748106474.824005,15318493075.0,1.876693,0.002417,-12.510507,-2.237584,True,47.578211,51.615064,False,102.13275,116.659057,False,False,3.714395,,False,,
2024-05-21,165.542007,70136.53125,214400.0,166648351.648352,27587302669.483227,15037272300.0,1.834595,0.00236,-14.580227,-4.032331,True,47.516273,51.542178,False,103.332383,116.602728,False,False,3.626525,,False,,
2024-05-22,164.699997,69122.335938,214400.0,166857142.857143,27481370919.363846,14819828825.0,1.854365,0.002383,-13.76776,-5.420052,False,47.454496,51.469497,False,98.128187,116.34218,False,False,3.661018,,False,,
2024-05-23,154.406998,67929.5625,214400.0,167065934.065934,25796149293.836655,14564098200.0,1.771215,0.002273,-17.73736,-7.052122,False,47.392879,51.397021,False,100.297156,116.746116,False,False,3.391712,,False,,
2024-05-24,168.483994,68526.101562,214400.0,167274725.274725,28183113730.965076,14691996175.0,1.918263,0.002459,-11.019037,-6.235879,False,47.331422,51.324748,False,101.340941,117.466497,False,False,3.633873,,False,,
2024-05-25,168.483994,69265.945312,214400.0,167483516.483516,28218291707.636234,14850618675.0,1.900143,0.002432,-11.969461,-5.223552,False,47.270125,51.252679,False,100.995466,117.466497,False,False,3.595058,,False,,
2024-05-26,168.483994,68518.09375,214400.0,167692307.692308,28253469684.30739,14690279300.0,1.923277,0.002459,-11.008637,-6.246836,False,47.208986,51.180812,False,100.795287,115.1558,False,False,3.634297,,False,,
2024-05-27,168.483994,69394.554688,214400.0,167901098.901099,28288647660.978546,14878192525.0,1.90135,0.002428,-12.132608,-5.047576,False,47.148005,51.109146,False,100.795287,114.322832,False,False,3.588396,,False,,
